answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,question_id,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4
0.0,0.0,0.0,0.0,2885,1,execute_agentic_rag,,,,,Espresso Preis Anton's Pizza Il sogno de Anton Vergleich,,,,,6,,,,
0.5,0.5,0.6666666666666666,0.18181818181818182,6534,2,execute_agentic_rag,execute_agentic_rag,,,,Restaurants mit Risotto auf der Speisekarte und deren Preise,"Weitere Restaurants mit Risotto, Risotto Preise vergleichen",,,,7,4.0,,,
0.7777777777777778,0.4,0.2222222222222222,0.09090909090909091,7491,3,execute_agentic_rag,execute_agentic_rag,,,,Struktur klassisches französisches Menü Menüfolge und Rolle Wein,italienische Menüfolge klassische Struktur und Weinbegleitung,,,,6,5.0,,,
0.6,1.0,0.6,0.5,2585,4,execute_agentic_rag,,,,,"UNESCO-Auszeichnungen französische Esskultur und mexikanische Küche, Jahr der Auszeichnung",,,,,6,,,,
1.0,0.875,0.875,0.2857142857142857,3281,5,execute_agentic_rag,,,,,Drei Grundpfeiler der mexikanischen 'heiligen Fünf' nennen und ihre Beziehung zu zwei Grundpfeilern der italienischen Küche erklären,,,,,7,,,,
0.0,0.0,0.0,0.0,2805,6,execute_agentic_rag,,,,,Preise Prosecco Il sogno de Anton und französischer Rotwein Chez Anton,,,,,6,,,,
1.0,0.35714285714285715,0.6666666666666666,0.3333333333333333,3148,7,execute_agentic_rag,,,,,Taco-Varianten Tönis Tacos und Grundelement mexikanische Küche,,,,,6,,,,
1.0,1.0,0.75,0.2727272727272727,5071,8,execute_agentic_rag,execute_agentic_rag,,,,typische italienische Desserts laut Küchenbeschreibung und Dessertkarte Il sogno de Anton,Dessertkarte Il sogno de Anton – werden Tiramisu und Panna Cotta angeboten?,,,,7,4.0,,,
1.0,1.0,1.0,0.2,5709,9,execute_agentic_rag,execute_agentic_rag,,,,Cocktail Klassiker laut Cocktail-Dokument,Restaurantkarte Cocktail Mojito Margarita Negroni Martini Manhattan Gin Tonic Caipirinha mit Preis,,,,5,10.0,,,
0.625,0.3333333333333333,0.625,0.28,11462,10,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Bedeutung des Espressos in der italienischen Kultur,Espresso auf Restaurantkarten mit Preisangabe,Andere Restaurantkarten Kaffee oder Espresso Preis,,,5,10.0,10.0,,
0.0,0.0,0.0,0.0,2829,11,execute_agentic_rag,,,,,Führen Anton's Pizza und Chez Anton Cappuccino? Preise herausfinden.,,,,,6,,,,
0.0,0.14285714285714285,0.3333333333333333,0.16666666666666666,3038,12,execute_agentic_rag,,,,,"Mineralwasser Preise und Gebinde bei Anton's Pizza, Chez Anton und Il sogno de Anton",,,,,6,,,,
1.0,0.3333333333333333,1.0,0.3,5066,13,execute_agentic_rag,execute_agentic_rag,,,,Rindfleisch Hauptgericht Chez Anton,Rindfleisch Hauptgericht Il sogno de Anton,,,,5,5.0,,,
0.5,0.07142857142857142,0.5,0.2,2828,14,execute_agentic_rag,,,,,EU-Bezug zu Italien und Frankreich in der Gastronomie oder Esskultur,,,,,5,,,,
0.8333333333333334,0.3888888888888889,0.5,0.3333333333333333,3266,15,execute_agentic_rag,,,,,regionale kulinarische Schwerpunkte Provence Frankreich und Norditalien,,,,,6,,,,
0.7142857142857143,1.0,0.875,0.5,2943,16,execute_agentic_rag,,,,,UNESCO Auszeichnung französische und mexikanische Küche 2010 Unterschied Art der Würdigung,,,,,6,,,,
0.0,0.0,0.3333333333333333,0.125,3645,17,execute_agentic_rag,,,,,Vegetarische Gerichte und Preise aus verschiedenen Restaurantkarten,,,,,8,,,,
0.3333333333333333,0.3333333333333333,0.0,0.0,9351,18,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Welcher Wein wird in italienischen Gerichten ausdrücklich genannt?,französische Weinregionen als Referenz zur italienischen Küche,Beispiele für italienische Gerichte mit explizit genanntem Wein,,,6,6.0,8.0,,
0.0,0.3333333333333333,0.0,0.0,3427,19,execute_agentic_rag,,,,,"Kaffeevarianten, Heißgetränke, Preise auf allen Restaurantkarten",,,,,8,,,,
0.0,0.5,0.0,0.0,2948,20,execute_agentic_rag,,,,,traditionelle französische Gemüsespeise im Land Frankreich und auf Menükarte mit Preis,,,,,7,,,,
0.5,0.3333333333333333,0.0,0.0,2907,21,execute_agentic_rag,,,,,Panna Cotta italienisches Küchenporträt und Il sogno de Anton Speisekarte Preis,,,,,6,,,,
1.0,1.0,0.8,0.2,2952,22,execute_agentic_rag,,,,,Pizza-Variante Anton's Pizza Einfachheit Herkunft Küchenporträt,,,,,5,,,,
1.0,0.2857142857142857,1.0,0.42857142857142855,3028,23,execute_agentic_rag,,,,,typisch mexikanische Getränke bei Tönis Tacos mit Preisen,,,,,7,,,,
0.0,0.0,0.0,0.0,3039,24,execute_agentic_rag,,,,,zwei taco sorten von der speisekarte mit gemeinsamer zutatenbasis laut küchenbeschreibung,,,,,7,,,,
0.8333333333333334,0.8,0.3333333333333333,0.1875,14621,25,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,Suppe Chez Anton Menü,italienisches Küchenkapitel Arme-Leute-Suppen Beispiele,Zutaten und Stil der 'Soupe du Terrier' bei Chez Anton,Vergleich klassisch französische Gemüsesuppe und italienische cucina povera Suppen Prinzip,,5,5.0,3.0,3.0,
0.8,0.18181818181818182,1.0,0.6666666666666666,2635,26,execute_agentic_rag,,,,,Welcher Cocktail ist typisch für Italien und welche kulturellen Informationen verbinden ihn mit dem Land?,,,,,6,,,,
