answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4,m_0,m_1,m_2,m_3,m_4
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.06666666666666667,18213,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,Preise Espresso Anton's Pizza,Espresso Preis Il sogno de Anton,Espresso Preis Getränke Anton's Pizza,Espresso Preis Il sogno de Anton Getränke,,4,3.0,3.0,5.0,,2,2.0,2.0,3.0,
1.0,1.0,0.8333333333333334,0.2608695652173913,9619,execute_agentic_rag,execute_agentic_rag,,,,Welche Restaurants bieten Risotto auf der Speisekarte?,Was sind die Risotto-Preise bei Anton's Pizza und Il sogno de Anton?,,,,7,6.0,,,,2,2.0,,,
0.875,0.5,0.75,0.25,10290,execute_agentic_rag,execute_agentic_rag,,,,klassisches französisches Menü Aufbau und Rolle des Weins,italienische Menüfolge Struktur und Rolle von Wein im Vergleich zu Frankreich,,,,5,4.0,,,,2,2.0,,,
0.6,1.0,0.8,0.2727272727272727,3679,execute_agentic_rag,,,,,"UNESCO-Auszeichnungen französische Esskultur und mexikanische Küche, Jahr der Verleihung",,,,,6,,,,,2,,,,
0.875,0.6363636363636364,1.0,0.14814814814814814,14143,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Was sind die 'heiligen Fünf' Grundzutaten der mexikanischen Küche?,Grundpfeiler der italienischen Küche: was sind zentrale Zutaten und deren Bedeutung?,Gemeinsamkeiten zwischen Mais und Weizen in mexikanischer und italienischer Küche,,,5,4.0,3.0,,,2,2.0,2.0,,
0.0,0.0,0.0,0.0,14847,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Preise Prosecco Il sogno de Anton und französischer Rotwein Chez Anton vergleichen,Prosecco Preis Il sogno de Anton,Französischer Rotwein Preis Chez Anton,,,6,4.0,4.0,,,2,2.0,2.0,,
1.0,1.0,0.6666666666666666,0.2222222222222222,3869,execute_agentic_rag,,,,,Taco-Varianten bei Tönis Tacos und Grundelement der mexikanischen Küche,,,,,6,,,,,2,,,,
0.75,0.3333333333333333,0.75,0.06896551724137931,9239,execute_agentic_rag,execute_agentic_rag,,,,typische italienische Desserts laut Küchenbeschreibung,Desserts auf der Speisekarte von Il sogno de Anton,,,,5,7.0,,,,2,2.0,,,
0.3333333333333333,0.07142857142857142,0.3333333333333333,0.1111111111111111,12400,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Welche Cocktails gelten als Klassiker laut Cocktail-Dokument?,Cocktails auf Restaurantkarten mit Preisen,"Welche Restaurants bieten Klassiker-Cocktails wie Martini, Manhattan, Margarita oder Daiquiri auf ihrer Karte an samt Preis?",,,5,8.0,6.0,,,2,2.0,3.0,,
0.375,0.2222222222222222,0.75,0.13157894736842105,15771,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Bedeutung des Espresso in der italienischen Kultur,"Espresso auf Restaurantkarten, Preise und Häufigkeit",Espresso auf weiteren Restaurantkarten mit Preis,,,4,7.0,8.0,,,2,2.0,2.0,,
